width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
224,0.85,0,17,9226,True,260.9,2,258,258,2.9,1,
224,0.85,0,18,9892,True,250.4,2,248,248,2.4,0,
224,0.85,0,19,9260,True,254.0,3,251,251,3.0,0,
224,0.85,0,20,9986,True,259.4,2,257,257,2.4,0,
224,0.85,0,21,9675,True,251.4,2,248,248,3.4,0,
224,0.85,0,22,9242,True,241.7,2,239,239,2.7,0,
224,0.85,0,23,9919,True,251.4,3,248,248,3.4,0,
224,0.85,0,24,9196,True,253.9,3,251,251,2.9,0,
224,0.85,0,25,9813,True,326.5,2,324,324,2.5,1,
224,0.85,0,26,9683,True,244.3,1,242,242,2.3,0,
224,0.85,0,27,9021,True,330.2,2,328,328,2.2,0,
224,0.85,0,28,9484,True,239.8,2,237,237,2.8,0,
224,0.85,0,29,8874,True,248.9,3,246,246,2.9,0,
224,0.85,0,30,8925,True,253.4,2,251,251,2.4,0,
224,0.85,0,31,8317,True,251.3,1,249,249,2.3,0,
224,0.85,0,32,8943,True,257.0,2,255,255,2.0,1,
224,0.85,0,33,7947,True,250.6,1,248,248,2.6,1,
224,0.85,0,34,7966,True,240.2,1,238,238,2.2,1,
224,0.85,0,35,7745,True,245.5,2,243,243,2.5,1,
224,0.85,0,36,7696,True,243.1,2,241,241,2.1,1,
224,0.85,0,37,7469,True,243.8,1,241,241,2.8,1,
224,0.85,0,38,7461,True,248.9,3,246,246,2.9,1,
224,0.85,0,39,7589,True,247.4,2,245,245,2.4,1,
224,0.85,0,40,7411,True,242.6,2,240,240,2.6,1,
224,0.85,0,41,7793,True,264.4,2,262,262,2.4,1,
224,0.85,0,42,7545,True,398.2,1,396,396,2.2,1,
224,0.85,0,43,7624,True,250.3,1,248,248,2.3,2,
224,0.85,0,44,7617,True,253.1,1,251,251,2.1,1,
224,0.85,0,45,7824,True,294.8,1,293,293,1.8,1,
